Connecting...
Enable Sensors (Acc, Mag, Gyro)
Timestamp,X,Y,Z,MagX,MagY,MagZ,GyroX,GyroY,GyroZ
2017:02:03:16:53:08:29,-1,0,0,2.4,-18.3,-44.1,-0.5,-2.3,-4.1
2017:02:03:16:53:08:29,-1,0,0,2.4,-18.3,-44.1,-0.5,-2.3,-4.1
2017:02:03:16:53:08:29,-1,0,0,2.4,-18.3,-44.1,-0.5,-2.3,-4.1
2017:02:03:16:53:08:29,-1,0,0,2.4,-18.3,-44.1,-0.5,-2.3,-4.1
2017:02:03:16:53:09:16,-0.9,0.1,0,2.2,-16.3,-43.9,-1.1,-0.9,-1.8
2017:02:03:16:53:09:16,-0.9,0.1,0,2.2,-16.3,-43.9,-1.1,-0.9,-1.8
2017:02:03:16:53:09:16,-0.9,0.1,0,2.2,-16.3,-43.9,-1.1,-0.9,-1.8
2017:02:03:16:53:09:16,-0.9,0.1,0,2.2,-16.3,-43.9,-1.1,-0.9,-1.8
2017:02:03:16:53:09:17,-0.9,0.1,0,2.2,-16.3,-43.9,-1.1,-0.9,-1.8
2017:02:03:16:53:09:17,-0.9,0.1,0,2.2,-16.3,-43.9,-1.1,-0.9,-1.8
2017:02:03:16:53:09:17,-0.9,0.1,0,2.2,-16.3,-43.9,-1.1,-0.9,-1.8
2017:02:03:16:53:09:17,-0.9,0.1,0,2.2,-16.3,-43.9,-1.1,-0.9,-1.8
2017:02:03:16:53:09:17,-0.9,0.1,0,2.2,-16.3,-43.9,-1.1,-0.9,-1.8
2017:02:03:16:53:10:09,-0.9,0,0,2.5,-18.1,-45,-2.4,-2.4,-2.7
2017:02:03:16:53:10:09,-0.9,0,0,2.5,-18.1,-45,-2.4,-2.4,-2.7
2017:02:03:16:53:10:09,-0.9,0,0,2.5,-18.1,-45,-2.4,-2.4,-2.7
2017:02:03:16:53:10:09,-0.9,0,0,2.5,-18.1,-45,-2.4,-2.4,-2.7
2017:02:03:16:53:10:09,-0.9,0,0,2.5,-18.1,-45,-2.4,-2.4,-2.7
2017:02:03:16:53:10:09,-0.9,0,0,2.5,-18.1,-45,-2.4,-2.4,-2.7
2017:02:03:16:53:10:09,-0.9,0,0,2.5,-18.1,-45,-2.4,-2.4,-2.7
2017:02:03:16:53:10:09,-0.9,0,0,2.5,-18.1,-45,-2.4,-2.4,-2.7
2017:02:03:16:53:10:09,-0.9,0,0,2.5,-18.1,-45,-2.4,-2.4,-2.7
2017:02:03:16:53:11:02,-1,0,0,2.5,-16.8,-43.9,-1.1,-3.2,-3.9
2017:02:03:16:53:11:02,-1,0,0,2.5,-16.8,-43.9,-1.1,-3.2,-3.9
2017:02:03:16:53:11:02,-1,0,0,2.5,-16.8,-43.9,-1.1,-3.2,-3.9
2017:02:03:16:53:11:02,-1,0,0,2.5,-16.8,-43.9,-1.1,-3.2,-3.9
2017:02:03:16:53:11:02,-1,0,0,2.5,-16.8,-43.9,-1.1,-3.2,-3.9
2017:02:03:16:53:11:02,-1,0,0,2.5,-16.8,-43.9,-1.1,-3.2,-3.9
2017:02:03:16:53:11:03,-1,0,0,2.5,-16.8,-43.9,-1.1,-3.2,-3.9
2017:02:03:16:53:11:03,-1,0,0,2.5,-16.8,-43.9,-1.1,-3.2,-3.9
2017:02:03:16:53:11:03,-1,0,0,2.5,-16.8,-43.9,-1.1,-3.2,-3.9
2017:02:03:16:53:11:996,-1,0,0,2.5,-16.3,-43.9,-0.6,-2.8,-4.4
2017:02:03:16:53:11:996,-1,0,0,2.5,-16.3,-43.9,-0.6,-2.8,-4.4
2017:02:03:16:53:11:996,-1,0,0,2.5,-16.3,-43.9,-0.6,-2.8,-4.4
2017:02:03:16:53:11:996,-1,0,0,2.5,-16.3,-43.9,-0.6,-2.8,-4.4
2017:02:03:16:53:11:996,-1,0,0,2.5,-16.3,-43.9,-0.6,-2.8,-4.4
2017:02:03:16:53:11:996,-1,0,0,2.5,-16.3,-43.9,-0.6,-2.8,-4.4
2017:02:03:16:53:11:996,-1,0,0,2.5,-16.3,-43.9,-0.6,-2.8,-4.4
2017:02:03:16:53:11:996,-1,0,0,2.5,-16.3,-43.9,-0.6,-2.8,-4.4
2017:02:03:16:53:11:996,-1,0,0,2.5,-16.3,-43.9,-0.6,-2.8,-4.4
2017:02:03:16:53:12:990,-1,0,0,4.2,-16.2,-43.8,-2.1,-2.6,-3.4
2017:02:03:16:53:12:990,-1,0,0,4.2,-16.2,-43.8,-2.1,-2.6,-3.4
2017:02:03:16:53:12:990,-1,0,0,4.2,-16.2,-43.8,-2.1,-2.6,-3.4
2017:02:03:16:53:12:990,-1,0,0,4.2,-16.2,-43.8,-2.1,-2.6,-3.4
2017:02:03:16:53:12:990,-1,0,0,4.2,-16.2,-43.8,-2.1,-2.6,-3.4
2017:02:03:16:53:12:990,-1,0,0,4.2,-16.2,-43.8,-2.1,-2.6,-3.4
2017:02:03:16:53:12:990,-1,0,0,4.2,-16.2,-43.8,-2.1,-2.6,-3.4
2017:02:03:16:53:12:990,-1,0,0,4.2,-16.2,-43.8,-2.1,-2.6,-3.4
2017:02:03:16:53:12:990,-1,0,0,4.2,-16.2,-43.8,-2.1,-2.6,-3.4
2017:02:03:16:53:13:983,-1,-0.1,0,2.8,-18.3,-43.5,-1.4,-3.1,-2.3
2017:02:03:16:53:13:984,-1,-0.1,0,2.8,-18.3,-43.5,-1.4,-3.1,-2.3
2017:02:03:16:53:13:984,-1,-0.1,0,2.8,-18.3,-43.5,-1.4,-3.1,-2.3
2017:02:03:16:53:13:984,-1,-0.1,0,2.8,-18.3,-43.5,-1.4,-3.1,-2.3
