Date, Time, Classification
13 Mar 2017, 16:13:27,Good
13 Mar 2017, 16:13:27,Pending
13 Mar 2017, 16:13:28,Bad
13 Mar 2017, 16:13:28,Good
13 Mar 2017, 16:13:28,Pending
13 Mar 2017, 16:13:29,Bad
13 Mar 2017, 16:13:31,Good
13 Mar 2017, 16:13:35,Pending
13 Mar 2017, 16:13:35,Good
13 Mar 2017, 16:13:36,Pending
13 Mar 2017, 16:13:37,Bad
13 Mar 2017, 16:13:37,Good
13 Mar 2017, 16:13:38,Pending
13 Mar 2017, 16:13:38,Bad
13 Mar 2017, 16:13:39,Good
13 Mar 2017, 16:13:39,Pending
13 Mar 2017, 16:13:39,Good
13 Mar 2017, 16:13:40,Pending
13 Mar 2017, 16:13:40,Bad
13 Mar 2017, 16:13:41,Good
13 Mar 2017, 16:13:41,Pending
13 Mar 2017, 16:13:42,Bad
13 Mar 2017, 16:13:43,Good
13 Mar 2017, 16:13:43,Pending
13 Mar 2017, 16:13:43,Good
13 Mar 2017, 16:13:43,Pending
13 Mar 2017, 16:13:44,Bad
13 Mar 2017, 16:13:45,Good
13 Mar 2017, 16:13:45,Pending
13 Mar 2017, 16:13:46,Bad
13 Mar 2017, 16:13:46,Good
13 Mar 2017, 16:13:47,Pending
13 Mar 2017, 16:13:47,Bad
13 Mar 2017, 16:13:54,Good
13 Mar 2017, 16:13:55,Pending
13 Mar 2017, 16:13:55,Bad
13 Mar 2017, 16:13:59,Good
13 Mar 2017, 16:14:00,Pending
13 Mar 2017, 16:14:00,Good
13 Mar 2017, 16:14:00,Pending
13 Mar 2017, 16:14:01,Good
13 Mar 2017, 16:14:01,Pending
13 Mar 2017, 16:14:02,Good
13 Mar 2017, 16:14:02,Pending
13 Mar 2017, 16:14:02,Good
13 Mar 2017, 16:14:03,Pending
13 Mar 2017, 16:14:04,Bad
13 Mar 2017, 16:14:04,Good
13 Mar 2017, 16:14:04,Pending
13 Mar 2017, 16:14:05,Bad
13 Mar 2017, 16:14:05,Good
13 Mar 2017, 16:14:05,Pending
13 Mar 2017, 16:14:06,Bad
13 Mar 2017, 16:14:06,Good
13 Mar 2017, 16:14:07,Pending
13 Mar 2017, 16:14:07,Good
13 Mar 2017, 16:14:08,Pending
13 Mar 2017, 16:14:08,Bad
13 Mar 2017, 16:14:29,Good
13 Mar 2017, 16:14:29,Pending
13 Mar 2017, 16:14:30,Bad
13 Mar 2017, 16:14:30,Good
13 Mar 2017, 16:14:30,Pending
13 Mar 2017, 16:14:31,Bad
13 Mar 2017, 16:14:34,Good
13 Mar 2017, 16:14:35,Pending
13 Mar 2017, 16:14:35,Bad
13 Mar 2017, 16:14:38,Good
13 Mar 2017, 16:14:38,Pending
13 Mar 2017, 16:14:39,Bad
13 Mar 2017, 16:14:54,Good
13 Mar 2017, 16:14:55,Pending
13 Mar 2017, 16:14:56,Bad
13 Mar 2017, 16:14:56,Good
13 Mar 2017, 16:14:56,Pending
13 Mar 2017, 16:14:56,Good
